Publication Title	Publication reference	URL of Dataset	Clinical Trial ID	Country	Country code	Study design	Total number of subjects	Ethnicity	Existent variables	Exclusion criteria	Inclusion criteria	Demographic	Clinical variables	Laboratory variables	Comorbidities	Drugs	Imaging	Endpoint	Type of data
Multiplexed, quantitative serological profiling of COVID-19 from a drop of blood by a point-of-care test	PMID:33173900	https://www.medrxiv.org/content/10.1101/2020.11.05.20226654v1.supplementary-material	NA	USA	USA	Longitudinal 	29	Black|Latino|White|Other	Clinical|Demographic|Laboratory	NA	NA	Age|Sex|Ethnicity	Serum samples	IgA|IgG|IgM  	Diabetes|Obesity|Hypertension|Cardiovascular disease|Renal Disease|Chronic Lung Disease|Stroke	NA	Fluorescent detector—the D4Scope	log(D4 intensity a.u.)	NA
A multiplex chemiluminescent immunoassay for serological profiling of COVID-19-positive symptomatic and asymptomatic patients	PMID:33531472	https://github.com/linsemanlab/Grossberg-Koza-et-al-2021	NA	USA	USA	Longitudinal 	107	White|Asian|Hispanic|Latino|Spanish	Clinical|Demographic|Laboratory	NA	NA	Age|Sex|BMI|Ethnicity	Questionnaire	IgA|IgG|IgM  	Smoking history|Cardiovascular disease|Diabetes|Autoimmune disease|Tick-Borne illness|Hemochromatosis|Blood related disease	NA	Chemuluminescent immunoassay	IgA|IgG|and IgM antibody titers	Structured 
Viral epitope profiling of COVID-19 patients reveals cross-reactivity and correlates of severity	PMID:32994364	https://science.sciencemag.org/content/suppl/2020/09/28/science.abd4250.DC1	NA	USA	USA	Longitudinal 	420	Asian|Black|Black_Hispanic|Hispanic|Other|Unknown|White|White_Hispanic	Clinical|Demographic|Laboratory	NA	NA	Age|Sex|Ethnicity	Cohort 1: plasma samples|date of initial symptom onset|symptom type|date of diagnosis|date of symptom cessation|and severity of symptoms/ Cohort 2: Serum samples symptom duration and comorbidities/ Cohort 3: plasma samples|days since symptom onset| results of COVID-19 molecular testing/ Cohort 4: blood sample|demographic|past medical|and clinical data/ Cohort 5 and 6: Remnant serum specimens|onset of symptom/ Cohort 7 and 8: serum samples/ Cohort 9: plasma samples	IgG|IgA	NA	NA	NA	IgG|IgA antibody titers	Structured 
Profile of Immunoglobulin G and IgM Antibodies Against Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)	PMID:32337590	https://academic.oup.com/cid/article/71/16/2255/5825506#supplementary-data	NA	China	CHN	Longitudinal 	41	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex|Epidemiological history	Serum samples	IgG |IgM|Serological responses to SARS-CoV-2| Detection of  nucleocapsid (N) protein and spike (S) glycoprotein 	NA	NA	Chemuluminescent immunoassay	IgG|IgM	Structured 
Ultrasensitive high-resolution profiling of early seroconversion in patients with COVID-19	PMID:32948854	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7498988/, https://data.mendeley.com/datasets/2f73pzdkr4/1	NA	USA	USA	Longitudinal 	445	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex 	Serum samples	IgA|IgG|IgM  	Diabetes|Immunosuppression|Lung Disease|Heart Disease	NA	Multicolour imaging	IgA|IgG|IgM 	Structured 
A comparison of four serological assays for detecting anti-SARS-CoV-2 antibodies in human serum samples from different populations	PMID:32817357	https://stm.sciencemag.org/content/suppl/2020/08/17/scitranslmed.abc3103.DC1	NCT04325646	France	FRA	Longitudinal 	751	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex 	Serum samples|Questionnaire|Sociodemographic information|Underlying medical conditions|History of respiratory symptoms back to 13 January 2020|History of COVID-19 diagnosis before this investigation	IgA|IgG|IgM 	NA	NA	NA	Seroprevalence|optical density|IgG| IgM |IgA  reactivity against purified tri-S proteins 	Structured 
Distinct Early Serological Signatures Track with SARS-CoV-2 Survival	PMID:32783920	ttps://doi.org/10.1016/j.immuni.2020.07.020	NA	USA	USA	Longitudinal 	66	Asian|Black|White	Clinical|Demographic|Laboratory	NA	NA	Age|Sex|Ethnicity|Intervention	Plasma samples	IgA|IgG|IgM  	NA	Chloroquines|Remdesivir|Tocilizumab|Antibiotics	NA	IgA|IgG|IgM Antibody responses 	Structured 
Ultra-sensitive Serial Profiling of SARS-CoV-2 Antigens and Antibodies in Plasma to Understand Disease Progression in COVID-19 Patients with Severe Disease	PMID:32897389	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/clinchem/66/12/10.1093_clinchem_hvaa213/1/hvaa213_supplementary_data.docx?Expires=1621248273&Signature=1f7Y0LlTdMNp-fSuW89LWJYjgx5BD4C4m3k839gAop3uSBnQgks8mXdXUlbZG~S6DDBLpHDhu52qBSfryqSZSkPR4XUPxRc~FM-mlLcRqGQ9ljNwNLFBFwTMJQPIfIaDtzENNP5tJShl~KNx6Amw2eQW4N2VEy~V4dimRThAja1Cmrt0cyMO3tNiqr-1qgFf8oenyeM6BLoVhLOwpn6boi4r0jk9Hze7uyHq~obUiJ0TYjw2ANhcqOkC4OQdw0sW~3rKVf0vaPbjjDZYka3tvuigpMi2a22T-D022iH0-LDVdHWiwow8z8wjSo86aFHXHprijVmmVTgSDYDcGfpwpg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA	NA	USA	USA	Longitudinal 	64	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Plasma samples|Patient disposition at time of admission. Was Patient Immunosuppressed?|Fraction of patients admitted to ICU|Fraction of patients intubated| Days between hospitalization and intubation|Length of intubation	SARS-CoV-2 S1 and N antigen detection|Serological responses	NA	NA	NA	IgG|IgM|and IgA each against S1|Spike|N|and receptor binding domain (RBD)	Structured 
Antibody dynamics to SARS-CoV-2 in asymptomatic COVID-19 infections	PMID:33040337	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7675426/	NA	China	CHN	Longitudinal 	1056	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serum samples|Healthy|Asymptomatic|Mild symptoms	Serum IgM and IgG antibodies|Serum proteome microarray	NA	NA	NA	IgM|IgG responses	Structured 
Serologic Response to SARS-CoV-2 in COVID-19 Patients with Different Severity	PMID:32705575	NA	NA	China	CHN	Longitudinal 	88	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serum samples| Mild/moderate symptoms|Severe(critical symptoms)	 IgG|IgM|Antibody titer	NA	NA	Chemiluminescence immunoassay	IgG|IgM	Structured 
Analysis of SARS-CoV-2 antibodies in COVID-19 convalescent blood using a coronavirus antigen microarray	PMID:33397903	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7217240/bin/NIHPP2020.04.15.043364-supplement-1.pdf	NA	USA|Switzerland	USA|CHE	Comparative	22	NA	Clinical|Laboratory	NA	NA	NA	Plasma samples	IgG|IgA	NA	NA	Human IgG and IgA secondary antibodies conjugated to quantum dot fluorophores Q800 and Q585	IgG|IgA	Structured 
A comprehensive, longitudinal analysis of humoral responses specific to four recombinant antigens of SARS-CoV-2 in severe and non-severe COVID-19 patients	PMID:32913364	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7482996/#	NA	China	CHN	Longitudinal 	26	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Throat swab samples|Serum samples|Onset signs and symptoms|Duration of positive viral RNA|ct value of RT-PCR|Lymphocyte|CRP|ESR|IL-6  	IgG|IgM	Diabetes|Hypertension|Alzheimer's Disease|Cerebral infarction|Liver cyst	hormone|interferon atomization|Lopinavir/Ritonavir|Immunoglobulin|Arbidol|Darunavir|Thymosin|Ribavirin	NA	IgG|IgM	Structured 
Dynamic profile for the detection of anti-SARS-CoV-2 antibodies using four immunochromatographic assays	PMID:32389784	https://www.journalofinfection.com/article/S0163-4453(20)30244-9/fulltext	NA	France	FRA	Longitudinal 	22	NA	Clinical|Laboratory	NA	NA	NA	Serum samples	IgM|IgG|Antibody detection	NA	NA	NA	IgM|IgG	Structured 
Persistence of Anti-SARS-CoV-2 Antibodies in Non-Hospitalized COVID-19 Convalescent Health Care Workers	PMID:33019628	https://www.mdpi.com/2077-0383/9/10/3188/s1	NA	Italy	ITA	Longitudinal 	546	NA	Clinical|Demographic|Laboratory	Inability to provide informed consent	Health care workers (medical doctors, practitioners, post-graduate students, nurses), potentially exposed to SARS-CoV-2 between February and June 2020|Documented SARS-CoV-2 infection by NF swab|Not being hospitalized for COVID-19; For those hospitalized with COVID-19: Documented SARS-CoV-2 infection by NF swab| Being admitted in the ICU between February and June 2020 for COVID-19; For negative controls: sera being collected before 2019	Age|Sex	Serum samples|Disease duration|Symptoms	IgM|IgG |IgA  	Obesity|Cardiopulmonary|Diabetes|Renal|Vasculopathy|Multile comorbidities	NA	NA	IgM|IgG|IgA|Cytokines|Chemokines	Structured 
Immune responses to SARS-CoV-2 in three children of parents with symptomatic COVID-19	PMID:33177504	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658256/#	NA	Australia	AUS	Longitudinal 	5	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serial samples including blood,saliva, NP, swabs, feces and urine|Symptoms recording 	Anti-S1 salivary IgA|IgG|IgM|Immune profiling	NA	 NA	NA	 IgA|IgG|IgM|IL-1α|IL-1β|IL-6|IFNα|TNFα|MIP-1α|MCP-1|IL-8|RANTES|IL-12p70|IL-10|IL-2|IL-5|IL-5|IL-9|IL-13|IFNγ|IL-17A|20,000 randomly selected live single cells per patient per time point	Structured 
Cross-sectional IgM and IgG profiles in SARS-CoV-2 infection	PMID:32511499	https://www.medrxiv.org/content/early/2020/05/14/2020.05.10.20097535.external-links	NA	USA	USA	Cross-sectional	180	Asian|Afro American|Non-hispanic Caucasian|Hispanic|Other	Clinical|Demographic|Laboratory	NA	NA	Age|Sex|Ethnicity	Serum samples|Plasma samples|Days since symptom onset|Respiratory failure requiring intubation|Duration of disease|Clinical symptoms	IgM|IgG 	NA	NA	NA	IgG|IgM	Structured 
Virological and Serological Discordant Profiles in COVID-19 Pneumonia: Two Atypical Clinical Cases	PMID:33133098	NA	NA	Italy	ITA	Longitudinal 	2	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serum samples|Nasopharyngeal swabs|Oxygen saturation on room air|HIGH Resolution CT (HRCT)|Hospitalization weeks|CPAP	IgM|IgG|IgA|White cell count|Absolute lymphocyte count|C-reactive protein|Ferritin|Il-6|D-dimer	arterial hypertension|trans-catheter ablation of atrial fibrillation|and right hemisphere ischemic stroke.	NA	NA	IgM|IgG|IgA 	Structured 
Linear B-cell epitopes in the spike and nucleocapsid proteins as markers of SARS-CoV-2 exposure and disease severity	PMID:32711254	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7375792/#	NA	Singapore	SGP	Longitudinal 	156	Chinese|Others	Clinical|Demographic|Laboratory	NA	NA	Age|Sex|Ethnicity	Plasma samples|Temperature |Heart rate| Respiratory rate | Diastolic blood pressure | Systolic blood pressure| Oxygen saturation 	Haemoglobin|Haematocrit|Platelets|White blood cells|Lymphocytes|Neutrophils|Monocytes|C-reactive protein (CRP)|Creatinine|Lactate dehydrogenase| Alanine aminotransferase (ALT)	Diabetes|Hypertension|Others	NA	NA	IgG  	Structured 
Accurate serology for SARS-CoV-2 and common human coronaviruses using a multiplex approach	PMID:32819220	https://doi.org/10.1080/22221751.2020.1813636	NA	Netherlands	NLD	Longitudinal 	330	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serum samples|Severity of diseases|Recent other influenza-like illness infection	IgG|Microarray|Virus neutralization test 50	NA	NA	NA	IgG |Micro-array titres	Structured 
Antibody kinetics and serologic profiles of SARS-CoV-2 infection using two serologic assays	PMID:33091042	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7580996/#	NA	Korea	KOR	Longitudinal 	154	Korean|Polish	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serum samples|Symptoms|Symptom onset 	Time kinetics for IgG and IgM antibodies	NA	NA	Cyclic enhanced fluorescence assay	IgM|IgG	Structured 
Clinical and serological profile of asymptomatic and non-severe symptomatic COVID-19 cases: Lessons from a longitudinal study in primary care in Latin America	PMID:33199310	https://bjgpopen.org/content/5/1/bjgpopen20X101137/tab-figures-data	CEIID200406001	Chile	CHL	Longitudinal 	522	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serum samples|Nasopharyngeal swabs 	IgG|IgM	High blood pressure|Diabetes|Asthma or COPD|Cardiovascular disease|Cancer|Smoking| Symptoms	ARBs|ACE inhibitors|NSAIDSs|Oral steroids|Inhalator steroids	NA	IgG|IgM	Structured 
Two SARS-CoV-2 IgG immunoassays comparison and time-course profile of antibodies response	PMID:33388574	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7836402/#bib0005	NA	Italy	ITA	Longitudinal 	55	NA	Clinical|Demographic|Laboratory	NA	Only patients with known date of symptoms’ onset were considered.	Age|Sex	Serum samples|Disease severity|Days from symptom onset|Symptoms| Number of withdrawals per patient	IgG	NA	NA	Two-step chemiluminescence micropar-ticle immunoassays 	IgG  	Structured 
A multiplex microsphere IgG assay for SARS-CoV-2 using ACE2-mediated inhibition as a surrogate for neutralization	PMID:33052354	https://jcm.asm.org/content/59/2/e02489-20/figures-only	RSRB STUDY00004836	USA	USA	Longitudinal 	140	NA	Clinical|Demographic|Laboratory	NA	NA	Age|Sex	Serum samples|Estimated date of symptom onset|Days of hospitalization|Intensive care unit [ICU] admission|Death|Symptoms	IgG 	History of smoking|Coronary artery disease|Chronicobstructive pulmonary disease [COPD]|Diabetes	NA	Fluorescence	IgG  	Structured 
SARS-COV-2 Serological Profile in Healthcare Professionals of a Southern Italy Hospital	PMID:33322150	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7764094/pdf/ijerph-17-09324.pdf	NA	Italy	ITA	Longitudinal 	242	NA	Clinical|Laboratory	NA	Hospital healthcare workers	NA	Serum samples	IgG|IgM	NA	NA	NA	IgG|IgM	Structured 
